ISBN,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9781405919203,The Doll's House,M. J. Arlidge,ePUB,15.99,15.99,1405919205,2015-02-12,Penguin Books Ltd,448
9780761179580,The Silver Palate Cookbook,Sheila Lukins,ePUB,29.99,29.99,761179585,2007-04-20,Workman Publishing Company,464
9780755373260,Silent Scream (The Minneapolis Series Book 2),Karen Rose,ePUB,11.99,11.99,075537326X,2010-05-13,Headline,544
9780241351581,Talking to Strangers,Malcolm Gladwell,ePUB,15.99,15.99,241351588,2019-09-10,Penguin Books Ltd,320
9781409064916,Lost Innocence,Susan Lewis,ePUB,15.99,15.99,1409064913,2010-04-01,Random House,656
9780755351473,Another Woman,Penny Vincenzi,ePUB,12.99,12.99,755351479,2008-09-04,Headline,640
9780571331970,Adele,LeÃ¯la Slimani,ePUB,13.19,11.99,571331971,2019-01-15,Faber & Faber,224
9780297860242,Sharp Objects,Gillian Flynn,ePUB,11.99,11.99,297860240,2009-09-03,Orion,336
9780141938370,Ballet Shoes,Noel Streatfeild,ePUB,9.99,9.99,141938374,2006-08-31,Penguin Random House Children's UK,240
9780748114368,Night Probe!,Clive Cussler,ePUB,4.99,4.99,074811436X,2009-09-17,"Little, Brown Book Group",384
9781301917099,Afghan Heat,Steve Stone,ePUB,5.18,5.18,1301917095,2016-02-02,Digital Dreams Publishing,
9780141911540,The Ball is Round,David Goldblatt,ePUB,19.99,19.99,141911549,2007-08-30,Penguin Books Ltd,992
9781416545484,Resistance,J.M. Dillard,ePUB,11.99,11.99,1416545484,2007-08-28,Pocket Books/Star Trek,384
9780141959856,Titmuss Regained,John Mortimer,ePUB,15.99,15.99,141959851,2010-11-04,Penguin Books Ltd,272
9780486113739,The Lost World,Sir Arthur Conan Doyle,ePUB,1.45,1.45,486113736,2012-08-22,Dover Publications,176
9780670921621,The Lean Startup,Eric Ries,ePUB,18.99,18.99,670921629,2011-10-06,Penguin Books Ltd,336
9781407008394,Triptych,Karin Slaughter,ePUB,15.99,15.99,1407008390,2008-09-04,Random House,528
9780241979785,Love is Blind,William Boyd,ePUB,15.99,15.99,241979781,2018-09-20,Penguin Books Ltd,296
9780307962546,The Prince,Niccolo Machiavelli,ePUB,3.99,3.99,307962547,2012-07-17,Knopf Doubleday Publishing Group,
9780297868385,The Hairy Bikers' Big Book of Baking,Hairy Bikers,ePUB,19.99,19.99,297868381,2012-03-01,Orion,224
9780749040567,Elm Tree Road,Anna Jacobs,ePUB,14.38,12.99,749040564,2011-08-29,Allison & Busby,352
9780755384808,The Book of Life,Deborah Harkness,ePUB,12.99,12.99,755384806,2014-07-15,Headline,592
9780141967455,A Murder of Quality,John le CarrÃ©,ePUB,15.99,15.99,141967455,2011-05-26,Penguin Books Ltd,192
9781405913171,The Book of Souls,James Oswald,ePUB,15.99,15.99,1405913177,2012-11-22,Penguin Books Ltd,400
9780141905570,Thin,Grace Bowman,ePUB,18.99,18.99,141905573,2007-01-25,Penguin Books Ltd,304
9780748120482,Good As Dead,Mark Billingham,ePUB,12.99,12.99,748120483,2011-08-18,"Little, Brown Book Group",352
9780795337192,The Holocaust,Martin Gilbert,ePUB,31.89,25.99,795337191,2018-09-01,RosettaBooks,
9780241257975,Reality Is Not What It Seems,Carlo Rovelli,ePUB,15.99,15.99,241257972,2016-10-06,Penguin Books Ltd,256
9781407044873,Double Cross,Malorie Blackman,ePUB,9.99,9.99,1407044877,2008-12-29,Penguin Random House Children's UK,448
9780141980270,The Nightingales are Drunk,Hafez,ePUB,4.99,4.99,141980273,2015-02-26,Penguin Books Ltd,96
